"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-02","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7737.9","","","","1"
"2022-03","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7753.1","","","","1"
"2022-04","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7784.2","","","","1"
"2022-05","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7791.0","","","","1"
"2022-06","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7773.1","","","","1"
"2022-07","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7788.2","","","","1"
"2022-08","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7772.8","","","","1"
"2022-09","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7751.2","","","","1"
"2022-10","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7804.3","","","","1"
"2022-11","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7819.5","","","","1"
"2022-12","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7864.0","","","","1"
"2023-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7900.4","","","","1"
"2023-02","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7932.1","","","","1"
"2023-03","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7961.7","","","","1"
"2023-04","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7992.2","","","","1"
"2023-05","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7981.3","","","","1"
"2023-06","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8029.9","","","","1"
"2023-07","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8037.7","","","","1"
"2023-08","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8052.4","","","","1"
"2023-09","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8067.1","","","","1"
"2023-10","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8055.4","","","","1"
"2023-11","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8063.9","","","","1"
"2023-12","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8038.2","","","","1"
"2024-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8051.0","","","","1"
"2024-02","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8054.6","","","","1"
"2024-03","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8092.5","","","","1"
"2024-04","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8114.1","","","","1"
"2024-05","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8152.5","","","","1"
"2024-06","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8155.4","","","","1"
"2024-07","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8175.1","","","","1"
"2024-08","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8170.3","","","","1"
"2024-09","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8203.1","","","","1"
"2024-10","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8180.2","","","","1"
"2024-11","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8172.9","","","","1"
"2024-12","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8210.0","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8234.2","","","","1"
"2025-02","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8245.7","","","","1"
"2025-03","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8221.6","","","","1"
"2025-04","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8193.6","","","","1"
"2025-05","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8198.1","","","","1"
"2025-06","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8208.3","","","","1"
"2025-07","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8216.3","","","","1"
"2025-08","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8190.3","","","","1"
"2025-09","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8200.2","","","","1"
"2025-10","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8252.5","","","","1"
"2025-11","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8256.4","","","","1"
"2025-12","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8274.5","","","","1"
"2026-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8208.0","","","","1"
"2026-02","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8211.3","","","","1"
"2026-03","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8205.5","","","","1"
"2026-04","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8247.9","","","","1"
"2026-05","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8289.7","","","","1"
"2026-06","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8273.0","","","","1"
"2015-02","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6843.5","","","","1"
"2015-03","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6848.0","","","","1"
"2015-04","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6854.7","","","","1"
"2015-05","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6862.2","","","","1"
"2015-06","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6867.1","","","","1"
"2015-07","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6869.4","","","","1"
"2015-08","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6869.0","","","","1"
"2015-09","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6868.6","","","","1"
"2015-10","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6870.9","","","","1"
"2015-11","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6874.4","","","","1"
"2015-12","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6882.7","","","","1"
"2016-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6893.7","","","","1"
"2016-02","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6903.8","","","","1"
"2016-03","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6912.9","","","","1"
"2016-04","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6919.8","","","","1"
"2016-05","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6925.1","","","","1"
"2016-06","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6928.7","","","","1"
"2016-07","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6931.7","","","","1"
"2016-08","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6937.5","","","","1"
"2016-09","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6947.6","","","","1"
"2016-10","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6961.2","","","","1"
"2016-11","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6976.8","","","","1"
"2016-12","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6995.1","","","","1"
"2017-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7013.2","","","","1"
"2017-02","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7029.0","","","","1"
"2017-03","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7044.7","","","","1"
"2017-04","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7059.9","","","","1"
"2017-05","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7077.6","","","","1"
"2017-06","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7097.4","","","","1"
"2017-07","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7119.7","","","","1"
"2017-08","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7141.4","","","","1"
"2017-09","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7160.5","","","","1"
"2017-10","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7175.1","","","","1"
"2017-11","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7185.5","","","","1"
"2017-12","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7189.3","","","","1"
"2018-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7188.7","","","","1"
"2018-02","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7193.5","","","","1"
"2018-03","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7199.5","","","","1"
"2018-04","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7208.8","","","","1"
"2018-05","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7223.2","","","","1"
"2018-06","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7238.8","","","","1"
"2018-07","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7255.1","","","","1"
"2018-08","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7265.8","","","","1"
"2018-09","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7277.3","","","","1"
"2018-10","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7287.7","","","","1"
"2018-11","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7299.4","","","","1"
"2018-12","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7311.4","","","","1"
"2019-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7327.1","","","","1"
"2019-02","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7344.5","","","","1"
"2019-03","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7358.5","","","","1"
"2019-04","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7375.8","","","","1"
"2019-05","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7390.4","","","","1"
"2019-06","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7403.7","","","","1"
"2019-07","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7416.8","","","","1"
"2019-08","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7432.2","","","","1"
"2019-09","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7460.7","","","","1"
"2019-10","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7497.2","","","","1"
"2019-11","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7502.6","","","","1"
"2019-12","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7452.3","","","","1"
"2020-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7344.2","","","","1"
"2020-02","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7173.5","","","","1"
"2020-03","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6966.5","","","","1"
"2020-04","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6791.3","","","","1"
"2020-05","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6708.2","","","","1"
"2020-06","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6735.7","","","","1"
"2020-07","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6847.1","","","","1"
"2020-08","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","6986.1","","","","1"
"2020-09","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7120.6","","","","1"
"2020-10","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7223.6","","","","1"
"2020-11","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7261.6","","","","1"
"2020-12","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7257.8","","","","1"
"2021-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7249.4","","","","1"
"2021-02","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7246.1","","","","1"
"2021-03","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7248.5","","","","1"
"2021-04","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7263.2","","","","1"
"2021-05","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7291.8","","","","1"
"2021-06","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7339.6","","","","1"
"2021-07","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7409.2","","","","1"
"2021-08","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7468.2","","","","1"
"2021-09","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7527.5","","","","1"
"2021-10","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7587.3","","","","1"
"2021-11","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7628.3","","","","1"
"2021-12","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7658.3","","","","1"
"2022-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7682.3","","","","1"
"2022-02","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7711.9","","","","1"
"2022-03","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7737.5","","","","1"
"2022-04","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7759.7","","","","1"
"2022-05","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7770.5","","","","1"
"2022-06","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7778.1","","","","1"
"2022-07","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7781.7","","","","1"
"2022-08","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7779.4","","","","1"
"2022-09","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7787.2","","","","1"
"2022-10","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7803.8","","","","1"
"2022-11","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7830.1","","","","1"
"2022-12","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7861.4","","","","1"
"2023-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7893.8","","","","1"
"2023-02","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7927.0","","","","1"
"2023-03","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Trend-cycle","Persons in thousands","428","thousands","3","v123339363","7.3.1.1.1.3","7955.5","","","","1"
